"name","episode_number","title","rating"
"Deniz",1,"Kokaric",5
"Koray",1,"Kokaric",5
"Okan",1,"Kokaric",5
"Pelin",1,"Kokaric",4
"Serpil",1,"Kokaric",5
"Deniz",2,"Vatka",4
"Koray",2,"Vatka",5
"Okan",2,"Vatka",4
"Pelin",2,"Vatka",5
"Serpil",2,"Vatka",4
"Deniz",3,"Nu Model",NA
"Koray",3,"Nu Model",4
"Okan",3,"Nu Model",NA
"Pelin",3,"Nu Model",4
"Serpil",3,"Nu Model",4
"Deniz",4,"Erasmusla GY",5
"Koray",4,"Erasmusla GY",5
"Okan",4,"Erasmusla GY",5
"Pelin",4,"Erasmusla GY",5
"Serpil",4,"Erasmusla GY",5
"Deniz",5,"Yanlis Mentor",NA
"Koray",5,"Yanlis Mentor",3
"Okan",5,"Yanlis Mentor",3
"Pelin",5,"Yanlis Mentor",3
"Serpil",5,"Yanlis Mentor",NA
"Deniz",6,"Karanlik Guc",4
"Koray",6,"Karanlik Guc",5
"Okan",6,"Karanlik Guc",5
"Pelin",6,"Karanlik Guc",5
"Serpil",6,"Karanlik Guc",5
